trace_name,source_id,source_origin_time,source_latitude_deg,source_longitude_deg,source_depth_km,station_code,trace_p_arrival_time,trace_s_arrival_time
be6c4b02-1214-424a-a2f0-27869e5b60d7_DRSC,be6c4b02-1214-424a-a2f0-27869e5b60d7,2020-03-09T02:49:17.460000Z,-76.601161,-103.462207,1.93,DRSC,2020-03-09T02:49:18.055451Z,2020-03-09T02:49:18.616606Z
8ce5a0c7-d345-44c9-b908-05d637ce0e9d_DRSC,8ce5a0c7-d345-44c9-b908-05d637ce0e9d,2020-03-09T04:06:39.570000Z,-76.599889,-103.463459,1.78,DRSC,,2020-03-09T04:06:40.713096Z
b752a300-96c8-4af8-835e-64b85bc96d64_DRSC,b752a300-96c8-4af8-835e-64b85bc96d64,2020-03-09T11:17:24.875000Z,-76.599787,-103.457244,1.73,DRSC,2020-03-09T11:17:25.393273Z,2020-03-09T11:17:25.955545Z
a1d883ce-6a51-4320-b453-73ca0ed11633_DRSC,a1d883ce-6a51-4320-b453-73ca0ed11633,2020-03-09T15:06:07.165000Z,-76.593391,-103.466588,1.54,DRSC,2020-03-09T15:06:07.726943Z,2020-03-09T15:06:08.290347Z
397bbcfb-17d6-4845-a4d8-9fc8ebd9d0fc_TJTJ,397bbcfb-17d6-4845-a4d8-9fc8ebd9d0fc,2020-08-01T04:33:16.545000Z,-77.2941,-100.482231,3.14,TJTJ,,2020-08-01T04:33:18.132183Z
300a4d66-89f9-49ee-a005-6a471ede1158_TJTJ,300a4d66-89f9-49ee-a005-6a471ede1158,2020-08-01T08:58:11.790000Z,-77.293877,-100.48121,3.13,TJTJ,,2020-08-01T08:58:13.370853Z
7b79c32b-bd7e-4801-b684-fcf300bb59ca_TJTJ,7b79c32b-bd7e-4801-b684-fcf300bb59ca,2020-08-12T16:24:41.695000Z,-77.2941,-100.482231,3.07,TJTJ,,2020-08-12T16:24:43.274056Z
683dfc2d-012a-4a5c-805d-41a6e2cb60fb_TJTJ,683dfc2d-012a-4a5c-805d-41a6e2cb60fb,2020-08-12T18:59:48.320000Z,-77.294101,-100.481213,3.13,TJTJ,,2020-08-12T18:59:49.902435Z
d1312546-68a0-4490-80b6-d48b7c8e23ad_TJTJ,d1312546-68a0-4490-80b6-d48b7c8e23ad,2020-08-12T21:00:34.010000Z,-77.293878,-100.480193,3.13,TJTJ,,2020-08-12T21:00:35.591654Z
d1312546-68a0-4490-80b6-d48b7c8e23ad_OTIS,d1312546-68a0-4490-80b6-d48b7c8e23ad,2020-08-12T21:00:34.010000Z,-77.293878,-100.480193,3.13,OTIS,2020-08-12T21:00:35.491861Z,
